time,temperature_2m_max,precipitation_sum,date
2024-12-12,2.1,0.0,2024-12-12
2024-12-13,-0.1,0.0,2024-12-13
2024-12-14,-0.1,0.0,2024-12-14
2024-12-15,3.4,0.7,2024-12-15
2024-12-16,7.9,5.4,2024-12-16
2024-12-17,6.9,12.9,2024-12-17
2024-12-18,6.7,0.6,2024-12-18
2024-12-19,9.5,0.5,2024-12-19
2024-12-20,8.5,1.2,2024-12-20
2024-12-21,4.0,0.1,2024-12-21
2024-12-22,3.9,1.6,2024-12-22
2024-12-23,4.2,1.0,2024-12-23
2024-12-24,4.0,0.0,2024-12-24
2024-12-25,3.6,0.0,2024-12-25
2024-12-26,3.2,0.0,2024-12-26
2024-12-27,2.9,0.0,2024-12-27
2024-12-28,2.4,1.5,2024-12-28
2024-12-29,3.6,0.0,2024-12-29
2024-12-30,3.7,0.1,2024-12-30
2024-12-31,6.2,0.4,2024-12-31
2025-01-01,6.1,4.7,2025-01-01
2025-01-02,6.6,4.1,2025-01-02
2025-01-03,1.2,1.0,2025-01-03
2025-01-04,-1.6,4.0,2025-01-04
2025-01-05,-0.9,0.0,2025-01-05
2025-01-06,2.8,4.4,2025-01-06
2025-01-07,2.8,3.1,2025-01-07
2025-01-08,2.0,4.7,2025-01-08
2025-01-09,2.5,1.8,2025-01-09
2025-01-10,4.3,1.8,2025-01-10
2025-01-11,0.3,2.0,2025-01-11
2025-01-12,-0.0,2.2,2025-01-12
2025-01-13,-0.3,0.0,2025-01-13
2025-01-14,0.3,5.6,2025-01-14
2025-01-15,2.6,0.8,2025-01-15
2025-01-16,2.1,0.2,2025-01-16
2025-01-17,3.7,0.0,2025-01-17
2025-01-18,3.5,0.0,2025-01-18
2025-01-19,3.3,0.0,2025-01-19
2025-01-20,1.8,0.0,2025-01-20
2025-01-21,3.1,0.0,2025-01-21
2025-01-22,1.3,0.0,2025-01-22
2025-01-23,1.6,0.3,2025-01-23
2025-01-24,5.0,0.1,2025-01-24
2025-01-25,7.1,1.1,2025-01-25
2025-01-26,6.9,0.2,2025-01-26
2025-01-27,8.0,0.0,2025-01-27
2025-01-28,8.5,3.2,2025-01-28
2025-01-29,8.2,1.6,2025-01-29
2025-01-30,8.9,0.1,2025-01-30
2025-01-31,4.6,8.7,2025-01-31
2025-02-01,4.1,2.4,2025-02-01
2025-02-02,1.2,0.7,2025-02-02
2025-02-03,1.3,0.1,2025-02-03
2025-02-04,4.4,1.1,2025-02-04
2025-02-05,4.8,0.0,2025-02-05
2025-02-06,6.1,1.1,2025-02-06
2025-02-07,1.3,0.3,2025-02-07
2025-02-08,-0.6,0.0,2025-02-08
2025-02-09,0.6,0.0,2025-02-09
2025-02-10,-2.9,0.0,2025-02-10
2025-02-11,-4.0,0.0,2025-02-11
2025-02-12,0.4,0.0,2025-02-12
2025-02-13,1.3,0.0,2025-02-13
2025-02-14,-1.5,0.0,2025-02-14
2025-02-15,0.1,0.2,2025-02-15
2025-02-16,-2.2,0.3,2025-02-16
2025-02-17,-1.0,0.1,2025-02-17
2025-02-18,0.7,0.4,2025-02-18
2025-02-19,1.0,0.1,2025-02-19
2025-02-20,1.3,0.0,2025-02-20
2025-02-21,0.7,0.0,2025-02-21
2025-02-22,3.5,0.0,2025-02-22
2025-02-23,5.8,0.0,2025-02-23
2025-02-24,7.6,0.0,2025-02-24
2025-02-25,5.8,0.0,2025-02-25
2025-02-26,7.9,0.4,2025-02-26
2025-02-27,8.4,0.5,2025-02-27
2025-02-28,4.3,4.7,2025-02-28
2025-03-01,1.9,1.7,2025-03-01
2025-03-02,3.4,0.1,2025-03-02
2025-03-03,7.4,0.0,2025-03-03
2025-03-04,9.7,0.0,2025-03-04
2025-03-05,12.8,0.0,2025-03-05
2025-03-06,17.1,0.0,2025-03-06
2025-03-07,15.6,0.0,2025-03-07
2025-03-08,15.1,0.0,2025-03-08
2025-03-09,14.5,0.0,2025-03-09
2025-03-10,16.9,0.0,2025-03-10
2025-03-11,14.5,0.0,2025-03-11
2025-03-12,12.3,0.0,2025-03-12
2025-03-13,10.4,23.2,2025-03-13
2025-03-14,4.5,4.8,2025-03-14
2025-03-15,6.0,0.0,2025-03-15
2025-03-16,8.3,0.9,2025-03-16
2025-03-17,2.5,0.2,2025-03-17
2025-03-18,6.9,0.0,2025-03-18
2025-03-19,9.3,0.0,2025-03-19
2025-03-20,12.7,0.0,2025-03-20
2025-03-21,13.5,0.0,2025-03-21
2025-03-22,13.3,0.0,2025-03-22
2025-03-23,11.2,0.0,2025-03-23
2025-03-24,7.6,0.0,2025-03-24
2025-03-25,12.4,0.0,2025-03-25
2025-03-26,7.7,2.6,2025-03-26
2025-03-27,9.3,0.1,2025-03-27
2025-03-28,13.7,0.0,2025-03-28
2025-03-29,16.0,0.0,2025-03-29
2025-03-30,14.9,3.3,2025-03-30
2025-03-31,8.0,7.3,2025-03-31
2025-04-01,14.2,0.0,2025-04-01
2025-04-02,15.9,0.0,2025-04-02
2025-04-03,18.1,0.0,2025-04-03
2025-04-04,16.7,0.0,2025-04-04
2025-04-05,5.4,4.4,2025-04-05
2025-04-06,3.3,0.0,2025-04-06
2025-04-07,5.7,0.2,2025-04-07
2025-04-08,7.5,0.0,2025-04-08
2025-04-09,10.5,2.9,2025-04-09
2025-04-10,5.0,1.4,2025-04-10
2025-04-11,10.7,6.1,2025-04-11
2025-04-12,14.8,0.0,2025-04-12
2025-04-13,18.7,0.0,2025-04-13
2025-04-14,20.5,0.2,2025-04-14
2025-04-15,20.3,0.0,2025-04-15
2025-04-16,19.4,3.1,2025-04-16
2025-04-17,26.0,0.0,2025-04-17
2025-04-18,26.5,3.5,2025-04-18
2025-04-19,20.4,0.1,2025-04-19
2025-04-20,21.5,0.0,2025-04-20
2025-04-21,23.9,0.0,2025-04-21
2025-04-22,22.0,0.1,2025-04-22
2025-04-23,18.7,0.1,2025-04-23
2025-04-24,19.0,0.7,2025-04-24
2025-04-25,13.3,0.0,2025-04-25
2025-04-26,9.9,0.0,2025-04-26
2025-04-27,11.0,0.0,2025-04-27
2025-04-28,17.0,0.0,2025-04-28
2025-04-29,16.7,0.0,2025-04-29
2025-04-30,19.7,0.3,2025-04-30
2025-05-01,14.8,0.2,2025-05-01
2025-05-02,21.2,0.2,2025-05-02
2025-05-03,19.4,0.0,2025-05-03
2025-05-04,13.1,11.8,2025-05-04
2025-05-05,10.7,0.9,2025-05-05
2025-05-06,13.8,0.0,2025-05-06
2025-05-07,9.6,0.1,2025-05-07
2025-05-08,8.9,0.0,2025-05-08
2025-05-09,8.6,2.6,2025-05-09
2025-05-10,9.3,3.6,2025-05-10
2025-05-11,11.8,0.3,2025-05-11
2025-05-12,13.0,0.0,2025-05-12
2025-05-13,14.1,0.0,2025-05-13
2025-05-14,15.5,3.2,2025-05-14
2025-05-15,10.1,2.9,2025-05-15
2025-05-16,8.4,19.1,2025-05-16
2025-05-17,6.9,16.1,2025-05-17
2025-05-18,12.5,0.7,2025-05-18
2025-05-19,15.5,0.0,2025-05-19
2025-05-20,20.1,0.2,2025-05-20
2025-05-21,21.4,1.5,2025-05-21
2025-05-22,19.2,2.9,2025-05-22
2025-05-23,15.8,1.5,2025-05-23
2025-05-24,15.5,0.2,2025-05-24
2025-05-25,18.5,0.0,2025-05-25
2025-05-26,21.2,0.0,2025-05-26
2025-05-27,19.5,0.0,2025-05-27
2025-05-28,22.6,0.0,2025-05-28
2025-05-29,15.5,2.3,2025-05-29
2025-05-30,21.4,0.0,2025-05-30
2025-05-31,21.0,1.1,2025-05-31
2025-06-01,23.3,0.0,2025-06-01
2025-06-02,16.8,,2025-06-02
2025-06-03,,,2025-06-03
